Account,XXXX-X898
Tax Year,2021

"Form 1099DIV",
"Box","Description","Amount","Total","Details",
"1a","Total Ordinary Dividends (Includes amount shown in box 1b)","","$19.71","",
"1b","Qualified Dividends","","","",
"2a","Total Capital Gain Distributions (Includes amounts shown in boxes 2b 2c and 2d)","","","",
"2b","Unrecap. Sec. 1250 Gain","","","",
"2c","Section 1202 Gain","","","",
"2d","Collectibles(28 %) Gain","","","",
"2e","Section 897 ordinary dividends","","","",
"2f","Section 897 capital gain","","","",
"3","Nondividend Distributions","","","",
"4","Federal Income Tax Withheld","","","",
"5","DIV-199A","","","",
"6","Investment Expenses","","","",
"7","Foreign Tax Paid","","","",
"8","Foreign Country or U.S. Possession","","","",
"9","Cash Liquidation Distributions","","","",
"10","Noncash Liquidation Distributions","","","",
"11","Exempt-interest Dividends","","$26.14","",
"12","Specified Private Activity Bond Interest Dividends","","","",
"13","State","","","",
"14","State Identification No.","","","",
"15","State Tax Withheld","","","",
"","FATCA filing requirement","","","",
